download_day,total_downloads
2016-01-22,14
2016-01-23,6
2016-01-24,4
2016-01-25,4
2016-01-26,22
2016-01-27,25
2016-01-28,6
2016-01-29,13
2016-01-30,4
2016-01-31,1
2016-02-01,15
2016-02-02,11
2016-02-03,6
2016-02-04,16
2016-02-05,14
2016-02-06,11
2016-02-07,8
2016-02-08,76
2016-02-09,62
2016-02-10,20
2016-02-11,4
2016-02-12,6
2016-02-13,7
2016-02-14,3
2016-02-15,14
2016-02-16,95
2016-02-17,58
2016-02-18,46
2016-02-19,35
2016-02-20,29
2016-02-21,24
2016-02-22,22
2016-02-23,53
2016-02-24,19
2016-02-25,38
2016-02-26,34
2016-02-27,28
2016-02-28,9
2016-02-29,31
2016-03-01,31
2016-03-02,26
2016-03-03,22
2016-03-04,23
2016-03-05,26
2016-05-22,18
2016-05-23,47
2016-05-24,32
2016-05-25,50
2016-05-26,46
2016-05-27,42
2016-05-28,9
2016-05-29,32
2016-05-30,20
2016-05-31,20
2016-06-01,72
2016-06-02,71
2016-06-03,65
2016-06-04,52
2016-06-05,18
2016-06-06,62
2016-06-07,60
2016-06-08,30
2016-06-09,32
2016-06-10,17
2016-06-11,11
2016-06-12,30
2016-06-13,74
2016-06-14,31
2016-06-15,17
2016-06-16,40
2016-06-17,50
2016-06-18,17
2016-06-19,16
2016-06-20,21
2016-06-21,29
2016-06-22,39
2016-06-23,92
2016-06-24,18
2016-06-25,8
2016-06-26,9
2016-06-27,15
2016-06-28,15
2016-06-29,49
2016-06-30,91
2016-07-01,26
2016-07-02,35
2016-07-03,9
2016-07-04,150
2016-07-05,108
2016-07-06,75
2016-07-07,43
2016-07-08,48
2016-07-09,56
2016-07-10,22
2016-07-11,52
2016-07-12,50
2016-07-13,44
2016-07-14,63
2016-07-15,33
2016-07-16,34
2016-07-17,21
2016-07-18,34
2016-07-19,93
2016-07-20,53
2016-07-21,80
2016-07-22,68
2016-07-23,13
2016-07-24,15
2016-07-25,35
2016-07-26,65
2016-07-27,79
2016-07-28,73
2016-07-29,75
2016-07-30,23
2016-07-31,52
2016-08-01,41
2016-08-02,92
2016-08-03,63
2016-08-04,58
2016-08-05,105
2016-08-06,40
2016-08-07,30
2016-08-08,60
2016-08-09,68
2016-08-10,66
2016-08-11,30
2016-08-12,80
2016-08-13,30
2016-08-14,12
2016-08-15,39
2016-08-16,54
2016-08-17,90
2016-08-18,53
2016-08-19,65
2016-08-20,68
2016-08-21,12
2016-08-22,74
2016-08-23,55
2016-08-24,21
2016-08-25,39
2016-08-26,50
2016-08-27,24
2016-08-28,31
2016-08-29,23
2016-08-30,29
2016-08-31,81
2016-09-01,35
2016-09-02,49
2016-09-03,35
2016-09-04,49
2016-09-05,43
2016-09-06,68
2016-09-07,78
2016-09-08,65
2016-09-09,47
2016-09-10,42
2016-09-11,21
2016-09-12,48
2016-09-13,49
2016-09-14,33
2016-09-15,46
2016-09-16,87
2016-09-17,51
2016-09-18,43
2016-09-19,40
2016-09-20,99
2016-09-21,61
2016-09-22,37
2016-09-23,65
2016-09-24,77
2016-09-25,46
2016-09-26,171
2016-09-27,229
2016-09-28,134
2016-09-29,73
2016-09-30,74
2016-10-01,62
2016-10-02,46
2016-10-03,59
2016-10-04,43
2016-10-05,65
2016-10-06,101
2016-10-07,84
2016-10-08,39
2016-10-09,40
2016-10-10,74
2016-10-11,65
2016-10-12,114
2016-10-13,62
2016-10-14,28
2016-10-15,5
2016-10-16,4
2016-10-17,21
2016-10-18,49
2016-10-19,88
2016-10-20,60
2016-10-21,20
2016-10-22,4
2016-10-23,26
2016-10-24,37
2016-10-25,47
2016-10-26,89
2016-10-27,65
2016-10-28,50
2016-10-29,22
2016-10-30,23
2016-10-31,35
2016-11-01,58
2016-11-02,51
2016-11-03,51
2016-11-04,52
2016-11-05,34
2016-11-06,19
2016-11-07,49
2016-11-08,72
2016-11-09,66
2016-11-10,46
2016-11-11,50
2016-11-12,25
2016-11-13,13
2016-11-14,41
2016-11-15,40
2016-11-16,81
2016-11-17,40
2016-11-18,38
2016-11-19,46
2016-11-20,32
2016-11-21,39
2016-11-22,47
2016-11-23,58
2016-11-24,85
2016-11-25,11
2016-11-26,22
2016-11-27,18
2016-11-28,38
2016-11-29,71
2016-11-30,28
2016-12-01,95
2016-12-02,26
2016-12-03,33
2016-12-04,15
2016-12-05,33
2016-12-06,76
2016-12-07,56
2016-12-08,85
2016-12-09,45
2016-12-10,32
2016-12-11,25
2016-12-12,61
2016-12-13,49
2016-12-14,44
2016-12-15,58
2016-12-16,27
2016-12-17,12
2016-12-18,14
2016-12-19,61
2016-12-20,23
2016-12-21,221
2016-12-22,190
2016-12-23,56
2016-12-24,20
2016-12-25,12
2016-12-26,19
2016-12-27,21
2016-12-28,34
2016-12-29,21
2016-12-30,33
2016-12-31,20
2017-01-01,17
2017-01-02,6
2017-01-03,35
2017-01-04,19
2017-01-05,60
2017-01-06,38
2017-01-07,37
2017-01-08,3
2017-01-09,55
2017-01-10,53
2017-01-11,33
2017-01-12,46
2017-01-13,67
